Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Zarejestrowany w Polsce,Stan,Wersja,Generacja,Metalik,Pierwsza rejestracja,Bezwypadkowy,Kod Silnika,Możliwość finansowania,Faktura VAT,Leasing,Numer rejestracyjny pojazdu,Serwisowany w ASO,Kraj pochodzenia,Pierwszy właściciel,VAT marża,Miesięczna rata,lub do (przebieg km),Filtr cząstek stałych,Emisja CO2,Perłowy,Homologacja ciężarowa,Akryl (niemetalizowany),Gwarancja dealerska (w cenie),Uszkodzony,Tuning,VIN,Matowy,Okres gwarancji producenta,Kierownica po prawej (Anglik),Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek
31900PLN,Firmy,Osobowe,Audi,A6,2009,195 388 km,1 968 cm3,Diesel,136 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,,Używane,,C6 (2004-2011),Tak,,Tak,,Tak,,,,Tak,,,Tak,,,,,,,,,,,,,,,,,,
47000PLN,Firmy,Osobowe,Škoda,Octavia,2014,77 510 km,1 798 cm3,Benzyna,180 KM,Manualna,Na przednie koła,Kompakt,5,5,Srebrny,Tak,Używane,,III (2013-),Tak,16/04/2014,,,Tak,,Tak,,Tak,Polska,,,280 PLN,,,,,,,,,,,,,,,,,
11900PLN,Osoby prywatnej,Osobowe,Citroën,C4,2006,158 648 km,1 997 cm3,Benzyna,140 KM,Automatyczna,Na przednie koła,Kompakt,5,5,Czarny,,Używane,2.0 16V VTR Pack,I (2004-2010),Tak,05/06/2006,,,,,,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,,
39900PLN,Osoby prywatnej,Osobowe,Renault,Captur,2015,93 000 km,1 500 cm3,Diesel,90 KM,Automatyczna,Na przednie koła,SUV,5,5,Bordowy,Tak,Używane,,,Tak,,,,Tak,,,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
15900PLN,Osoby prywatnej,Osobowe,Volkswagen,Polo,2011,195 500 km,1 199 cm3,Diesel,75 KM,Manualna,,Auta małe,5,5,Srebrny,,Używane,1.2 TDI DPF BlueMot (87g),V (2009-2014),Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39990PLN,Osoby prywatnej,Osobowe,Honda,Civic,2012,110 000 km,1 799 cm3,Benzyna,140 KM,Manualna,Na przednie koła,Kompakt,5,5,Brązowy,,Używane,,IX (2011-),Tak,,Tak,,,,,,Tak,Polska,Tak,,,,,,,,,,,,,,,,,,,
55900PLN,Firmy,Osobowe,Ford,Mondeo,2015,176 000 km,1 997 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,Kombi,5,5,Szary,,Używane,2.0 TDCi Titanium PowerShift,Mk5 (2014-),Tak,,Tak,,Tak,,,,Tak,Niemcy,Tak,Tak,,,,,,,,,,,,,,,,,,
11600PLN,Osoby prywatnej,Osobowe,Renault,Scenic,2006,20 200 km,2 000 cm3,Benzyna,144 KM,Manualna,,Minivan,5,,Srebrny,,Używane,,II (2003-2009),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
52000PLN,Osoby prywatnej,Osobowe,Audi,Q7,2009,183 900 km,2 967 cm3,Diesel,240 KM,Automatyczna,4x4 (stały),SUV,5,5,Szary,Tak,Używane,3.0 TDI DPF clean diesel Quattro Tiptr,I (2005-2015),Tak,18/03/2009,,,,,,DJE33Y1,Tak,Polska,,,,,,,,,,,,,,,02/02/2021,,,,,
27000PLN,Osoby prywatnej,Osobowe,BMW,X3,2007,244 000 km,1 995 cm3,Diesel,150 KM,Manualna,4x4 (stały),SUV,5,5,Szary,Tak,Używane,2.0d,E83 (2003-2010),Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33600PLN,Osoby prywatnej,Osobowe,Opel,Insignia,2013,113 000 km,1 956 cm3,Diesel,130 KM,Manualna,Na przednie koła,Kombi,5,5,Inny kolor,Tak,Używane,2.0 CDTI Cosmo,A (2008-2017),Tak,28/03/2013,Tak,,Tak,,,,Tak,Niemcy,,,,,,,Tak,,,,,,,,,,,,,
41500PLN,Osoby prywatnej,Osobowe,Hyundai,ix35,2012,161 890 km,1 591 cm3,Benzyna,135 KM,Manualna,Na przednie koła,SUV,5,5,Czarny,Tak,Używane,1.6 GDI Comfort 2WD,,,,Tak,,,Tak,,,,Polska,,,,,,,,,,,,,,,,,,,,
39900PLN,Osoby prywatnej,Osobowe,BMW,Seria 1,2013,104 224 km,1 598 cm3,Benzyna,136 KM,Manualna,,Kompakt,5,5,Czarny,,Używane,116i,F20/F21 (2011-),,,Tak,,,,,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
42900PLN,Osoby prywatnej,Osobowe,Hyundai,ix35,2010,131 972 km,2 000 cm3,Benzyna,163 KM,Manualna,Na przednie koła,SUV,5,5,Czarny,,Używane,,,Tak,,Tak,,Tak,,,,Tak,Niemcy,,Tak,,,,,Tak,,,,,,,,,,,,,
