Cena,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Zarejestrowany w Polsce,Stan,Wersja,Generacja,Metalik,Pierwsza rejestracja,Bezwypadkowy,Kod Silnika,Możliwość finansowania,Faktura VAT,Leasing,Numer rejestracyjny pojazdu,Serwisowany w ASO,Kraj pochodzenia,Pierwszy właściciel,VAT marża,Miesięczna rata,lub do (przebieg km),Filtr cząstek stałych,Emisja CO2,Perłowy,Homologacja ciężarowa,Akryl (niemetalizowany),Gwarancja dealerska (w cenie),Uszkodzony,Tuning,VIN,Matowy,Okres gwarancji producenta,Kierownica po prawej (Anglik),Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek
33210PLN,Osoby prywatnej,Osobowe,Škoda,Superb,2011,132 000 km,2 000 cm3,Benzyna,200 KM,Automatyczna,Na przednie koła,Sedan,5,5,Bordowy,Tak,Używane,II (2008-),II (2008-2018),,,,,,Tak,,,,,Tak,,,,,,,,,,,,,,,,,,,
35999PLN,Firmy,Osobowe,Volkswagen,Passat,2013,203 500 km,1 390 cm3,Benzyna,122 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,Używane,,B7 (2010-2014),,,,,,,,,,Niemcy,Tak,Tak,,,,,,,,,,,,,,,,,,
31998PLN,Firmy,Osobowe,Chevrolet,Orlando,2011,120 066 km,1 796 cm3,Benzyna,141 KM,Manualna,Na przednie koła,Minivan,5,7,Czarny,Tak,Używane,,,Tak,26/01/2012,Tak,,Tak,Tak,Tak,,Tak,Polska,,,190 PLN,,,,,,,,,,,,,,,,,
11000PLN,Osoby prywatnej,Osobowe,Fiat,Punto Evo,2010,170 000 km,1 368 cm3,Benzyna,77 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Inny kolor,,Używane,1.4 8V Active Euro5,,Tak,03/02/2010,Tak,,,,,,Tak,Włochy,,,,,,,Tak,,,,,,,,,,,,,
17900PLN,Osoby prywatnej,Osobowe,Nissan,Note,2012,140 000 km,1 461 cm3,Diesel,90 KM,Manualna,Na przednie koła,Minivan,5,5,Beżowy,Tak,Używane,1.5 dCi Acenta,I (2005-2013),,30/03/2012,Tak,,,,,PP8346F,,Niemcy,,,,,Tak,,,,,,,,,,,,,,,
49900PLN,Osoby prywatnej,Osobowe,Honda,Civic,2015,70 500 km,1 798 cm3,Benzyna,142 KM,Manualna,Na przednie koła,Sedan,4,5,Szary,,Używane,1.8 Comfort,IX (2011-),,,,,Tak,,,,,Niemcy,,,,,,,,,,,,,,,,,,,,
52700PLN,Osoby prywatnej,Osobowe,Honda,CR-V,2011,62 400 km,1 997 cm3,Benzyna,150 KM,Manualna,Na przednie koła,SUV,5,5,Srebrny,,Używane,,III (2006-2012),Tak,,Tak,,,,,,Tak,,,Tak,,,,,,,,,,,,,,,,,,
20900PLN,Firmy,Osobowe,Citroën,C3 Picasso,2011,140 000 km,1 600 cm3,Benzyna,120 KM,Manualna,Na przednie koła,Kompakt,5,5,Niebieski,,Używane,,,Tak,,Tak,,,,,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
22900PLN,Osoby prywatnej,Osobowe,Citroën,C3,2014,126 000 km,999 cm3,Benzyna,68 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Biały,,Używane,1.0 VTi Attraction,II (2008-2018),,17/04/2014,Tak,,,,,,Tak,Niemcy,,Tak,,,,,,,Tak,,,,,,,,,,,
37900PLN,Osoby prywatnej,Osobowe,Volvo,V40,2013,141 000 km,1 984 cm3,Diesel,150 KM,Manualna,,Kompakt,5,5,Beżowy,,Używane,,II (2012-),,,Tak,,,,,CP-704-WC,Tak,Francja,,Tak,,,,,,,,,,,,,,,,,,
20900PLN,Osoby prywatnej,Osobowe,Opel,Insignia,2010,150 000 km,1 598 cm3,Benzyna,180 KM,Manualna,,Sedan,5,,Szary,,Używane,,A (2008-2017),,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,
18500PLN,Osoby prywatnej,Osobowe,Toyota,RAV4,2005,209 963 km,2 362 cm3,Benzyna,118 KM,Automatyczna,4x4 (dołączany ręcznie),SUV,5,5,Srebrny,Tak,Używane,,II (2000-2005),Tak,01/12/2005,,,Tak,,,,,Stany Zjednoczone,,,,,,,,,,,,,,,,,,,,
85900PLN,Firmy,Osobowe,Honda,CR-V,2015,103 380 km,1 997 cm3,Benzyna,155 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Brązowy,,Używane,2.0 Executive Navi + ADAS,IV (2012-2018),Tak,11/11/2015,Tak,,Tak,,,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
49000PLN,Firmy,Osobowe,Opel,Mokka,2014,66 072 km,1 364 cm3,Benzyna,140 KM,Manualna,Na przednie koła,SUV,5,5,Brązowy,Tak,Używane,,,Tak,04/07/2014,,,Tak,,Tak,,Tak,Polska,,,292 PLN,,,,,,,,,,,,,,,,,
12400PLN,Osoby prywatnej,Osobowe,Škoda,Fabia,2009,108 000 km,1 390 cm3,Benzyna,75 KM,Manualna,,Auta miejskie,4,5,Czerwony,,Używane,1.4 16V Elegance,II (2007-),,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,
81500PLN,Osoby prywatnej,Osobowe,Chevrolet,Camaro,2009,87 000 km,6 200 cm3,Benzyna,428 KM,Manualna,Na tylne koła,Coupe,2,4,Czarny,Tak,Używane,,,Tak,,Tak,,,,,,,Stany Zjednoczone,,,,,,,,,,,,,,,,,,,,
17000PLN,Osoby prywatnej,Osobowe,Toyota,Corolla,2007,300 000 km,1 598 cm3,Benzyna,124 KM,Manualna,Na przednie koła,Sedan,4,5,Szary,Tak,Używane,,Seria E15 (2007-2013),Tak,,,,,,,DBA 23257,,Polska,,,,,,,,,,,,,,,,,,,,
52275PLN,Osoby prywatnej,Osobowe,BMW,X5,2008,147 000 km,4 799 cm3,Benzyna,355 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Szary,Tak,Używane,4.8i xDrive,E70 (2006-2013),Tak,,,,,Tak,,,,,Tak,,,,,,,,,,,,,,,,,,,
22900PLN,Firmy,Osobowe,Volkswagen,Scirocco,2009,205 988 km,1 390 cm3,Benzyna,160 KM,Automatyczna,Na przednie koła,Kompakt,3,4,Czarny,Tak,Używane,1.4 TSI DSG,,,12/10/2009,,,Tak,,,,,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
119000PLN,Osoby prywatnej,Osobowe,BMW,Seria 4,2014,18 357 km,2 979 cm3,Benzyna,306 KM,Automatyczna,Na tylne koła,Kabriolet,2,4,Czarny,Tak,Używane,,,Tak,01/01/2014,,,,,,PO7CL94,,Kanada,,,,,,,,,,,,,,,,,,,,
17900PLN,Osoby prywatnej,Osobowe,Citroën,C5,2009,166 000 km,1 560 cm3,Diesel,109 KM,Manualna,Na przednie koła,Sedan,4,5,Czarny,Tak,Używane,1.6 HDi Dynamique Equilibre Navi,III (2008-),,,Tak,,Tak,,,,,,,,,,Tak,,,,,,,,,,,,,,,
66000PLN,Osoby prywatnej,Osobowe,Lexus,RX,2011,250 000 km,3 456 cm3,Hybryda,249 KM,Automatyczna,,SUV,5,5,Złoty,,Używane,450h Prestige,III (2009-2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52900PLN,Osoby prywatnej,Osobowe,Hyundai,ix35,2015,64 000 km,1 600 cm3,Benzyna,135 KM,Manualna,Na przednie koła,SUV,5,5,Brązowy,,Używane,,,Tak,,Tak,,,,,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
16500PLN,Osoby prywatnej,Osobowe,Dodge,Caliber,2006,127 009 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kompakt,5,5,Inny kolor,Tak,Używane,2.0 CRD SXT,,,,Tak,,Tak,,,RK 63405,,,,,,,,,,,,,,,,,,,,,,
11000PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf,2008,390 000 km,1 896 cm3,Diesel,105 KM,Manualna,Na przednie koła,Kombi,5,,Czarny,Tak,Używane,V 1.9 TDI Comfortline,V (2003-2009),,,,,,,,,Tak,Polska,,,,,,,,,,,,,,,,,,,,
22000PLN,Firmy,Osobowe,Citroën,C-Elysée,2012,107 623 km,1 587 cm3,Benzyna,115 KM,Manualna,Na przednie koła,Sedan,4,5,Szary,Tak,Używane,,,Tak,07/03/2013,,,Tak,,Tak,,Tak,Polska,,,131 PLN,,,,,,,,,,,,,,,,,
32998PLN,Firmy,Osobowe,Škoda,Fabia,2015,64 088 km,1 422 cm3,Diesel,105 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,Tak,Używane,,III (2014-),Tak,23/11/2015,,,Tak,Tak,Tak,,Tak,Polska,Tak,,196 PLN,,,,,,,,,,,,,,,,,
21800PLN,Osoby prywatnej,Osobowe,Renault,Scenic,2011,128 000 km,1 598 cm3,Benzyna,110 KM,Manualna,Na przednie koła,Minivan,5,5,Biały,,Używane,1.6 16V Authentique,III (2009-2013),Tak,,Tak,,Tak,,,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,,
23999PLN,Osoby prywatnej,Osobowe,Audi,A3,2008,287 000 km,1 896 cm3,Diesel,105 KM,Manualna,Na przednie koła,Sedan,,,Czarny,,Używane,,8P (2003-2012),,29/10/2008,Tak,,Tak,,,,,Niemcy,,,,,Tak,,,,,,,,,,,,,,,
54999PLN,Firmy,Osobowe,Volkswagen,Passat,2015,165 000 km,1 968 cm3,Diesel,150 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,Tak,Używane,2.0 TDI BMT Comfortline,B8 (2014-),,05/06/2015,Tak,,Tak,Tak,Tak,WE965KL,Tak,Polska,Tak,,,,,,,,,,,,,,,,,,,
37900PLN,Firmy,Osobowe,Citroën,C4 Grand Picasso,2015,216 873 km,1 560 cm3,Diesel,116 KM,Manualna,Na przednie koła,Minivan,5,5,Niebieski,Tak,Używane,,II (2013-),Tak,,Tak,,,,,,Tak,,Tak,Tak,,,,,Tak,,,,,,,,,,,,,
47900PLN,Osoby prywatnej,Osobowe,BMW,Seria 5,2010,235 121 km,1 999 cm3,Diesel,184 KM,Manualna,,Sedan,5,,Inny kolor,Tak,Używane,,F10/F11 (2009-2017),,,Tak,,Tak,,,,,,Tak,,,,,,,,,,,,,,,,,,,
129002PLN,Osoby prywatnej,Osobowe,Maserati,GranTurismo,2008,219 000 km,4 244 cm3,Benzyna,405 KM,Automatyczna,Na tylne koła,Coupe,3,4,Bordowy,Tak,Używane,,,,01/01/2007,,,,Tak,,SBI91402,,,,,,,,,Tak,,,,,,,,,,,,,
47900PLN,Osoby prywatnej,Osobowe,Volvo,XC 60,2009,221 000 km,2 400 cm3,Diesel,205 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Brązowy,Tak,Używane,I (2008-2017),I (2008-2017),Tak,26/10/2009,Tak,,,,,WI8407L,,Polska,,,,,,,,,,,,,,,,,,,,
135000PLN,Osoby prywatnej,Osobowe,Jeep,Wrangler,2012,65 000 km,3 605 cm3,Benzyna,284 KM,Automatyczna,4x4 (dołączany ręcznie),SUV,5,,Czarny,,Używane,3.6 Unlim Rubicon,III (2006-),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53995PLN,Osoby prywatnej,Osobowe,Audi,A5,2012,200 000 km,1 798 cm3,Benzyna,170 KM,Manualna,Na przednie koła,Coupe,2,,Szary,,Używane,1.8 TFSI,8T (2007-2016),Tak,,Tak,,,Tak,,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,,
39000PLN,Firmy,Osobowe,Ford,Focus,2015,78 037 km,1 596 cm3,Benzyna,105 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,Tak,Używane,,Mk3 (2010-),Tak,29/05/2015,Tak,,Tak,,Tak,,Tak,Polska,,,232 PLN,,,,,,,,,,,,,,,,,
116850PLN,Osoby prywatnej,Osobowe,Audi,A6,2012,140 000 km,2 967 cm3,Diesel,313 KM,Automatyczna,4x4 (dołączany automatycznie),Kombi,5,5,Czarny,,Używane,3.0 TDI Quattro Tiptronic,C7 (2011-2018),Tak,03/12/2015,Tak,,,Tak,,,,Niemcy,,,,,Tak,,,,,,,,,,,,,,,
61900PLN,Firmy,Osobowe,Volvo,XC 60,2012,219 000 km,2 400 cm3,Diesel,215 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Czarny,Tak,Używane,D5 AWD Summum,I (2008-2017),Tak,08/01/2013,Tak,,Tak,,Tak,,Tak,Polska,Tak,Tak,,,Tak,,Tak,,,,,,,,,,,,,
35900PLN,Osoby prywatnej,Osobowe,Audi,A4,2009,210 183 km,2 698 cm3,Diesel,190 KM,Automatyczna,,Sedan,5,,Brązowy,,Używane,2.7 TDI Multitronic,B8 (2007-2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174000PLN,Osoby prywatnej,Osobowe,BMW,X6,2015,152 000 km,2 993 cm3,Diesel,258 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Biały,,Używane,xDrive30d,F16 (2014-),Tak,01/09/2015,Tak,,,Tak,,,Tak,,Tak,,,,,,,,,,,,,,,,,,,
110900PLN,Osoby prywatnej,Osobowe,Mercedes-Benz,Klasa E,2015,60 252 km,2 143 cm3,Diesel,170 KM,Automatyczna,Na tylne koła,Sedan,5,5,Brązowy,Tak,Używane,220 CDI Elegance,W212 (2009-2016),Tak,,,,,,,,Tak,Niemcy,Tak,,,,,,,,,,,,,,,,,,,
16000PLN,Osoby prywatnej,Osobowe,Renault,Megane,2009,171 000 km,1 598 cm3,Benzyna,110 KM,Manualna,Na przednie koła,Kompakt,5,5,Zielony,,Używane,,III (2008-2016),Tak,12/01/2010,Tak,,,,,KOS 532,Tak,Szwecja,,Tak,,,,,,,Tak,,,,,,,,,,,
21900PLN,Firmy,Osobowe,Opel,Astra,2010,181 000 km,1 700 cm3,Diesel,110 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,,Używane,,J (2009-2015),Tak,04/04/2010,,,Tak,,,,Tak,,,Tak,,,,,,,,,,,,,,,,,,
13800PLN,Osoby prywatnej,Osobowe,Suzuki,Swift,2010,150 000 km,1 328 cm3,Benzyna,92 KM,Manualna,,Auta miejskie,5,5,Niebieski,,Używane,1.3 GS / Premium,IV (2004-2010),Tak,,Tak,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
134900PLN,Firmy,Osobowe,Audi,A6 Allroad,2015,157 000 km,2 968 cm3,Diesel,272 KM,Automatyczna,4x4 (stały),Kombi,5,5,Brązowy,Tak,Używane,,C7 (2012-),Tak,19/11/2015,Tak,,Tak,Tak,,,Tak,Niemcy,Tak,,,,,,,,,,,,,,,,,,,
19999PLN,Firmy,Osobowe,Honda,Jazz,2010,178 000 km,1 198 cm3,Benzyna,90 KM,Manualna,,Auta miejskie,5,5,Srebrny,,Używane,,III (2008-2014),Tak,21/02/2011,Tak,,Tak,,,,Tak,Niemcy,Tak,Tak,,,,,,,,,,,,,,,,,,
48780PLN,Osoby prywatnej,Osobowe,BMW,Seria 3,2012,140 000 km,1 995 cm3,Diesel,184 KM,Manualna,Na tylne koła,Kombi,5,5,Brązowy,Tak,Używane,320d Modern Line,F30/F31 (2012-),Tak,22/10/2012,Tak,,Tak,Tak,,EL8F999,Tak,Polska,,,,,,,,,,,,,,,,,,,,
15000PLN,Firmy,Osobowe,Opel,Astra,2010,132 376 km,1 364 cm3,Benzyna,90 KM,Manualna,Na przednie koła,Kompakt,5,4,Biały,Tak,Używane,,H (2004-2014),,05/10/2010,,,Tak,,Tak,,,Polska,,,89 PLN,,,,,,,,,,,,,,,,,
10200PLN,Osoby prywatnej,Osobowe,Opel,Astra,2007,238 000 km,1 686 cm3,Diesel,110 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,Używane,III 1.7 CDTI Cosmo,H (2004-2014),Tak,,Tak,,,,,,,Niemcy,,,,,Tak,,,,,,,,,,,,,,,
29900PLN,Firmy,Osobowe,Mazda,3,2011,159 000 km,1 999 cm3,Benzyna,151 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,,Używane,2.0 Sport,II (2009-2013),Tak,,Tak,,,,,,Tak,,,Tak,,,,,,,,,,,,,,,,,,
49700PLN,Osoby prywatnej,Osobowe,Seat,Leon,2014,174 600 km,1 968 cm3,Diesel,150 KM,Manualna,4x4 (dołączany automatycznie),Kombi,5,5,Brązowy,,Używane,2.0 TDI X-Perience Start/Stop 4Drive,III (2012-),Tak,,Tak,,,,,,Tak,Niemcy,,Tak,,,,,,,,,,,,,,,,,,
33999PLN,Osoby prywatnej,Osobowe,BMW,Seria 3,2007,208 150 km,2 996 cm3,Benzyna,234 KM,Automatyczna,4x4 (stały),Coupe,3,,Srebrny,Tak,Używane,,E90/E91/E92/E93 (2005-2012),Tak,,,328,,,,,,,,,,208 000 km,,,,,,,,,,,,,,,,
44900PLN,Firmy,Osobowe,Honda,Accord,2012,189 000 km,2 200 cm3,Diesel,180 KM,Manualna,Na przednie koła,Kombi,5,5,Bordowy,,Używane,,VIII (2008-2015),Tak,,Tak,,,,,,Tak,Niemcy,Tak,Tak,,,,,,,,,,,,,,,,,,
60024PLN,Osoby prywatnej,Osobowe,Citroën,Jumpy Combi,2014,110 000 km,1 997 cm3,Diesel,163 KM,Automatyczna,Na przednie koła,Minivan,3,9,Biały,Tak,Używane,,,,19/09/2014,Tak,,,Tak,,TK 6823V,Tak,Włochy,,,,,Tak,,,,Tak,,,,,,,,,,,
89000PLN,Osoby prywatnej,Osobowe,BMW,Seria 5,2014,189 000 km,1 995 cm3,Diesel,190 KM,Automatyczna,,Sedan,5,,Czarny,,Używane,520d xDrive,F10/F11 (2009-2017),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25000PLN,Firmy,Osobowe,BMW,X3,2006,234 129 km,1 995 cm3,Diesel,150 KM,Manualna,4x4 (dołączany automatycznie),SUV,5,5,Czarny,Tak,Używane,,E83 (2003-2010),Tak,03/10/2006,,,Tak,,Tak,,,,,,185 PLN,,,,,,,,,,,,,,,,,
73000PLN,Osoby prywatnej,Osobowe,Chevrolet,Camaro,2015,69 000 km,3 600 cm3,Benzyna,330 KM,Manualna,Na tylne koła,Coupe,3,,Czarny,Tak,Używane,,,,,,,,,,,,Stany Zjednoczone,,,,,,,,,,,,Tak,,,,,,,,
9900PLN,Osoby prywatnej,Osobowe,Opel,Meriva,2006,184 000 km,1 400 cm3,Benzyna,90 KM,Manualna,,Kompakt,5,,Niebieski,,Używane,,I (2002-2010),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39900PLN,Osoby prywatnej,Osobowe,Nissan,Qashqai+2,2011,127 800 km,2 000 cm3,Benzyna,140 KM,Manualna,Na przednie koła,SUV,5,7,Srebrny,,Używane,,,Tak,,Tak,,Tak,,,,Tak,Niemcy,,Tak,,,,,Tak,,,,,,,,,,,,,
33900PLN,Osoby prywatnej,Osobowe,Nissan,Juke,2012,136 448 km,1 598 cm3,Benzyna,117 KM,Manualna,Na przednie koła,SUV,5,5,Czarny,Tak,Używane,1.6 Tekna,,,20/04/2012,Tak,,Tak,,,,,Polska,,,,,,,Tak,,,,,,,,,,,,,
16900PLN,Osoby prywatnej,Osobowe,Volvo,V50,2008,192 000 km,1 600 cm3,Diesel,109 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,,Używane,,,Tak,11/03/2009,,,Tak,,,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,,
26900PLN,Osoby prywatnej,Osobowe,Audi,A6,2006,280 000 km,2 999 cm3,Diesel,231 KM,Automatyczna,,Kombi,5,,Złoty,,Używane,,C6 (2004-2011),,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
29700PLN,Osoby prywatnej,Osobowe,Ford,Grand C-MAX,2012,155 000 km,1 586 cm3,Benzyna,160 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,,Używane,,,Tak,,Tak,,,,,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,,
21500PLN,Osoby prywatnej,Osobowe,Honda,Civic,2010,158 500 km,2 204 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kompakt,5,5,Czerwony,,Używane,2.2i-CTDi Comfort,VIII (2006-2011),,,,,,,,,,,,Tak,,,,,,,Tak,,,,,,,,,,,
205410PLN,Osoby prywatnej,Osobowe,Mercedes-Benz,GL,2015,93 000 km,2 987 cm3,Diesel,258 KM,Automatyczna,4x4 (stały),SUV,5,7,Biały,Tak,Używane,350 BlueTec 4-Matic,X166 (2012-),,07/10/2015,Tak,GL 350,Tak,Tak,,,Tak,Polska,Tak,,,,,,Tak,,,,,,,,,,,,,
29900PLN,Firmy,Osobowe,Opel,Insignia,2012,179 883 km,1 400 cm3,Benzyna,140 KM,Manualna,Na przednie koła,Kombi,5,5,Fioletowy,,Używane,,A (2008-2017),Tak,,Tak,,Tak,,,,Tak,Niemcy,Tak,Tak,,,,,,,,,,,,,,,,,,
9500PLN,Osoby prywatnej,Osobowe,Ford,Focus,2007,289 000 km,1 596 cm3,Benzyna+LPG,115 KM,Manualna,Na przednie koła,Sedan,5,,Czarny,,Używane,,Mk2 (2004-2011),,,,,,,,,,Polska,,,,,,,,,,,,,,,,,,,,
35900PLN,Osoby prywatnej,Osobowe,Volkswagen,Passat,2013,180 000 km,2 000 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,,Używane,,B7 (2010-2014),Tak,,Tak,,Tak,,,,Tak,,Tak,Tak,,,,,,,,,,,,,,,,,,
22000PLN,Firmy,Osobowe,Ford,Mondeo,2011,194 992 km,1 596 cm3,Benzyna,120 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,Tak,Używane,,Mk4 (2007-2014),Tak,21/09/2011,,,Tak,,Tak,,,Polska,,,131 PLN,,,,,,,,,,,,,,,,,
119000PLN,Osoby prywatnej,Osobowe,Audi,A8,2013,136 000 km,2 995 cm3,Benzyna,290 KM,Automatyczna,4x4 (stały),Sedan,4,5,Czarny,Tak,Używane,3.0 TFSI Quattro,D4 (2010-),Tak,24/04/2013,Tak,,,,,NO7208N,Tak,,,,,,,,,,,,,,,,,,,,,
21900PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf,2011,240 000 km,1 598 cm3,Diesel,105 KM,Automatyczna,,Kompakt,3,,Biały,,Używane,VI 1.6 TDI BlueMot Trendline DSG,VI (2008-2013),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28500PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf,2012,47 000 km,1 598 cm3,Diesel,105 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,Tak,Używane,,VI (2008-2013),Tak,15/10/2012,,,Tak,,,PWA PP26,,,Tak,,,47 000 km,,,,,,,,,,,,,,,,
40000PLN,Firmy,Osobowe,Opel,Insignia,2014,162 023 km,1 956 cm3,Diesel,131 KM,Manualna,Na przednie koła,Kombi,5,5,Niebieski,Tak,Używane,,A (2008-2017),Tak,24/09/2014,Tak,,Tak,,Tak,,Tak,Polska,,,238 PLN,,,,,,,,,,,,,,,,,
33000PLN,Osoby prywatnej,Osobowe,Volkswagen,Tiguan,2008,205 000 km,2 000 cm3,Diesel,140 KM,Manualna,4x4 (stały),SUV,5,5,Czarny,Tak,Używane,,I (2007-2016),Tak,,Tak,,,,,,Tak,Polska,Tak,,,,Tak,,,,,,,,,,,,,,,
25499PLN,Osoby prywatnej,Osobowe,Citroën,C4,2012,185 700 km,1 560 cm3,Diesel,110 KM,Manualna,Na przednie koła,Kompakt,5,5,Biały,Tak,Używane,1.6 HDi SX,II (2010-),,12/12/2012,Tak,,Tak,,,PL77477,Tak,Polska,Tak,,,,Tak,,Tak,,,,,,,,,,,,,
39200PLN,Osoby prywatnej,Osobowe,Mazda,CX-7,2008,99 800 km,2 261 cm3,Benzyna,260 KM,Automatyczna,Na przednie koła,SUV,5,5,Biały,Tak,Używane,,,,,Tak,,Tak,,,,,Stany Zjednoczone,,,,99 800 km,,,Tak,,,,,,,,,,,,,
96000PLN,Osoby prywatnej,Osobowe,Jeep,Grand Cherokee,2014,121 500 km,5 654 cm3,Benzyna,347 KM,Automatyczna,4x4 (stały),SUV,5,5,Bordowy,Tak,Używane,,IV (2010-),Tak,04/04/2016,,,,,,,,Stany Zjednoczone,,,,,,,,,,,,,,,,,,,,
11700PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf Plus,2006,245 000 km,1 896 cm3,Diesel,105 KM,Manualna,Na przednie koła,Minivan,,,Czarny,,Używane,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,
32000PLN,Osoby prywatnej,Osobowe,Nissan,Juke,2012,125 000 km,1 461 cm3,Diesel,110 KM,Manualna,Na przednie koła,SUV,5,5,Fioletowy,Tak,Używane,1.5 dCi Shiro,,Tak,,,,Tak,,,,,Francja,,,,,,,,,,,,,,,,,,,,
106900PLN,Osoby prywatnej,Osobowe,BMW,Seria 7,2013,105 000 km,4 400 cm3,Benzyna,448 KM,Automatyczna,Na tylne koła,Sedan,4,5,Czarny,Tak,Używane,,F01 (2008-2015),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121770PLN,Osoby prywatnej,Osobowe,Mercedes-Benz,Klasa C,2015,126 100 km,2 996 cm3,Benzyna,333 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,5,5,Biały,Tak,Używane,400 4-Matic 7G-TRONIC,W205 (2014-),,,Tak,,,Tak,,,,Stany Zjednoczone,,,,,,,,,,,,,,,,,,,,
29900PLN,Firmy,Osobowe,Volkswagen,Polo,2010,158 502 km,1 390 cm3,Benzyna,86 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,,Używane,,V (2009-2014),Tak,28/07/2010,Tak,,,,,,Tak,Niemcy,Tak,Tak,,,,,Tak,,,,,,,,,,,,,
41900PLN,Osoby prywatnej,Osobowe,Volkswagen,Tiguan,2012,136 500 km,1 390 cm3,Benzyna,122 KM,Manualna,Na przednie koła,SUV,5,5,Biały,Tak,Używane,1.4 TSI Trend&Fun,I (2007-2016),,,,,Tak,,,OKL 37826,Tak,,,,,,,,,,,,,,,,,,,,,
139000PLN,Firmy,Osobowe,BMW,X5,2015,159 000 km,1 995 cm3,Diesel,231 KM,Automatyczna,4x4 (dołączany automatycznie),SUV,5,5,Czarny,Tak,Używane,ver-xdrive25d,F15 (2013-2018),,,,,,,,,Tak,,Tak,,,,,,,,,,,,,,,,,,,
54900PLN,Osoby prywatnej,Osobowe,Volkswagen,Golf Sportsvan,2015,99 000 km,1 968 cm3,Diesel,150 KM,Manualna,Na przednie koła,Minivan,5,5,Niebieski,,Używane,VII SV 2.0 TDI BMT Highline,,,15/02/2015,Tak,,Tak,,,,Tak,Niemcy,,Tak,,,,,Tak,,,,,,,,,,,,,
32964PLN,Osoby prywatnej,Osobowe,Opel,Zafira,2013,164 000 km,2 000 cm3,Diesel,165 KM,Manualna,Na przednie koła,Minivan,5,5,Biały,Tak,Używane,,C (2011-2019),,,,,Tak,Tak,,,Tak,,,,,,,,,,,,,,,,,,,,,
27900PLN,Osoby prywatnej,Osobowe,Nissan,Qashqai,2012,171 000 km,1 997 cm3,Benzyna,141 KM,Automatyczna,Na przednie koła,SUV,5,,Czarny,,Używane,,I (2007-2013),Tak,,,,Tak,,,,,,,Tak,,,,,,,,,,,,,,,,,,
